Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
AnalyticsCheck,,,2019-04-06 23:17:57,2019-04-06 23:18:15,18.190s,PASSED
,,,,,,
Test Cases/TestHTTPMethods,,,2019-04-06 23:17:58,2019-04-06 23:18:15,17.584s,PASSED
"sendRequest(findTestObject(""UserService/Listusers""))",,,2019-04-06 23:17:59,2019-04-06 23:18:06,7.151s,PASSED
"sendRequestAndVerify(findTestObject(""UserService/Createuser""))",,,2019-04-06 23:18:06,2019-04-06 23:18:08,2.281s,PASSED
"sendRequestAndVerify(findTestObject(""UserService/Listusers""))",,,2019-04-06 23:18:08,2019-04-06 23:18:10,1.574s,PASSED
"sendRequestAndVerify(findTestObject(""UserService/Updateuser""))",,,2019-04-06 23:18:10,2019-04-06 23:18:11,1.377s,PASSED
"sendRequestAndVerify(findTestObject(""UserService/Listusers""))",,,2019-04-06 23:18:11,2019-04-06 23:18:12,1.337s,PASSED
"sendRequestAndVerify(findTestObject(""UserService/Deleteuser""))",,,2019-04-06 23:18:12,2019-04-06 23:18:14,1.307s,PASSED
"sendRequestAndVerify(findTestObject(""UserService/Listusers""))",,,2019-04-06 23:18:14,2019-04-06 23:18:15,1.322s,PASSED
